,150008.XSHE
2009-11-19,1.128
2009-11-20,1.123
2009-11-23,1.138
2009-11-24,1.085
2009-11-25,1.122
2009-11-26,1.058
2009-11-27,1.01
2009-11-30,1.069
2009-12-01,1.091
2009-12-02,1.107
2009-12-03,1.104
2009-12-04,1.128
2009-12-07,1.139
2009-12-08,1.12
2009-12-09,1.088
2009-12-10,1.098
2009-12-11,1.098
2009-12-14,1.114
2009-12-15,1.101
2009-12-16,1.091
2009-12-17,1.054
2009-12-18,1.014
2009-12-21,1.016
2009-12-22,0.984
2009-12-23,0.993
2009-12-24,1.035
2009-12-25,1.029
2009-12-28,1.053
2009-12-29,1.062
2009-12-30,1.09
2009-12-31,1.096
2010-01-04,1.077
2010-01-05,1.091
2010-01-06,1.08
2010-01-07,1.05
2010-01-08,1.053
2010-01-11,1.053
2010-01-12,1.077
2010-01-13,1.026
2010-01-14,1.048
2010-01-15,1.053
2010-01-18,1.061
2010-01-19,1.064
2010-01-20,1.014
2010-01-21,1.021
2010-01-22,1.002
2010-01-25,0.989
2010-01-26,0.966
2010-01-27,0.954
2010-01-28,0.956
2010-01-29,0.955
2010-02-01,0.941
2010-02-02,0.938
2010-02-03,0.961
2010-02-04,0.958
2010-02-05,0.94
2010-02-08,0.939
2010-02-09,0.944
2010-02-10,0.956
2010-02-11,0.958
2010-02-12,0.967
2010-02-22,0.961
2010-02-23,0.951
2010-02-24,0.964
2010-02-25,0.977
2010-02-26,0.974
2010-03-01,0.986
2010-03-02,0.982
2010-03-03,0.989
2010-03-04,0.966
2010-03-05,0.968
2010-03-08,0.975
2010-03-09,0.981
2010-03-10,0.973
2010-03-11,0.973
2010-03-12,0.961
2010-03-15,0.947
2010-03-16,0.952
2010-03-17,0.972
2010-03-18,0.97
2010-03-19,0.977
2010-03-22,0.98
2010-03-23,0.972
2010-03-24,0.972
2010-03-25,0.959
2010-03-26,0.972
2010-03-29,0.995
2010-03-30,0.997
2010-03-31,0.991
2010-04-01,1.006
2010-04-02,1.014
2010-04-06,1.013
2010-04-07,1.005
2010-04-08,0.991
2010-04-09,1.0
2010-04-12,0.993
2010-04-13,1.006
2010-04-14,1.011
2010-04-15,1.006
2010-04-16,0.993
2010-04-19,0.943
2010-04-20,0.942
2010-04-21,0.96
2010-04-22,0.947
2010-04-23,0.944
2010-04-26,0.939
2010-04-27,0.921
2010-04-28,0.917
2010-04-29,0.907
2010-04-30,0.91
2010-05-04,0.898
2010-05-05,0.903
2010-05-06,0.864
2010-05-07,0.848
2010-05-10,0.854
2010-05-11,0.837
2010-05-12,0.842
2010-05-13,0.863
2010-05-14,0.857
2010-05-17,0.812
2010-05-18,0.829
2010-05-19,0.826
2010-05-20,0.816
2010-05-21,0.827
2010-05-24,0.857
2010-05-25,0.84
2010-05-26,0.84
2010-05-27,0.853
2010-05-28,0.851
2010-05-31,0.829
2010-06-01,0.821
2010-06-02,0.824
2010-06-03,0.819
2010-06-04,0.821
2010-06-07,0.807
2010-06-08,0.808
2010-06-09,0.831
2010-06-10,0.822
