,display_name,name,start_date,end_date,type
150008.XSHE,瑞和小康,RHXK,2009-11-19,2200-01-01,fja
150009.XSHE,瑞和远见,RHYJ,2009-11-19,2200-01-01,fjb
150012.XSHE,中证100A,ZZ100A,2010-06-18,2200-01-01,fja
150013.XSHE,中证100B,ZZ100B,2010-06-18,2200-01-01,fjb
150016.XSHE,合润A,HRA,2010-05-31,2200-01-01,fja
150017.XSHE,合润B,HRB,2010-05-31,2200-01-01,fjb
150018.XSHE,银华稳进,YHWJ,2010-06-07,2200-01-01,fja
150019.XSHE,银华锐进,YHRJ,2010-06-07,2200-01-01,fjb
150022.XSHE,深成指A,SCZA,2010-11-08,2200-01-01,fja
150023.XSHE,深成指B,SCZB,2010-11-08,2200-01-01,fjb
150028.XSHE,中证500A,ZZ500A,2011-03-14,2200-01-01,fja
150029.XSHE,中证500B,ZZ500B,2011-03-14,2200-01-01,fjb
150030.XSHE,中证90A,ZZ90A,2011-04-08,2200-01-01,fja
150031.XSHE,中证90B,ZZ90B,2011-04-08,2200-01-01,fjb
150032.XSHE,多利优先,DLYX,2011-05-06,2200-01-01,fja
150033.XSHE,多利进取,DLJQ,2011-05-06,2200-01-01,fjb
150034.XSHE,聚利A,JLA,2011-07-08,2016-05-12,fja
150035.XSHE,聚利B,JLB,2011-07-08,2016-05-12,fjb
150036.XSHE,建信稳健,JXWJ,2011-06-08,2200-01-01,fja
150037.XSHE,建信进取,JXJQ,2011-06-08,2200-01-01,fjb
150039.XSHE,鼎利A,DLA,2011-09-15,2017-09-14,fja
150040.XSHE,鼎利B,DLB,2011-09-15,2017-09-14,fjb
150047.XSHE,消费A,XFA,2011-10-21,2200-01-01,fja
150048.XSHE,消费B,XFB,2011-10-21,2200-01-01,fjb
150049.XSHE,消费收益,XFSY,2012-04-25,2200-01-01,fja
150050.XSHE,消费进取,XFJQ,2012-04-25,2200-01-01,fjb
150051.XSHE,沪深300A,HS300A,2012-02-17,2200-01-01,fja
150052.XSHE,沪深300B,HS300B,2012-02-17,2200-01-01,fjb
150053.XSHE,泰达500A,TD500A,2011-12-22,2200-01-01,fja
150054.XSHE,泰达500B,TD500B,2011-12-22,2200-01-01,fjb
150055.XSHE,500A,500A,2012-03-30,2200-01-01,fja
150056.XSHE,500B,500B,2012-03-30,2200-01-01,fjb
150057.XSHE,中小300A,ZX300A,2012-02-21,2018-08-03,fja
150058.XSHE,中小300B,ZX300B,2012-02-21,2018-08-03,fjb
150059.XSHE,资源A级,ZYAJ,2011-12-21,2200-01-01,fja
150060.XSHE,资源B级,ZYBJ,2011-12-21,2200-01-01,fjb
150064.XSHE,同瑞A,TRA,2012-01-12,2200-01-01,fja
150065.XSHE,同瑞B,TRB,2012-01-12,2200-01-01,fjb
150066.XSHE,互利A,HLA,2012-01-17,2200-01-01,fja
150067.XSHE,互利B,HLB,2012-01-17,2200-01-01,fjb
150073.XSHE,诺安稳健,NAWJ,2012-04-27,2200-01-01,fja
150075.XSHE,诺安进取,NAJQ,2012-04-27,2200-01-01,fjb
150076.XSHE,浙商稳健,ZSWJ,2012-07-13,2018-08-10,fja
150077.XSHE,浙商进取,ZSJQ,2012-07-13,2018-08-10,fjb
150083.XSHE,深证100A,SZ100A,2012-06-12,2200-01-01,fja
